depth,rdeep_win_pct,retries
1,68.60,142
2,80.20,0
3,85.10,0
4,91.30,0
5,89.30,0
6,90.60,0
7,91.20,0
8,93.90,0
9,92.20,0
10,92.60,0
11,92.00,0
12,91.20,0
13,91.70,0
14,90.50,0
15,92.00,0
16,91.70,0
17,90.70,0
18,92.80,0
19,91.10,0
20,90.80,0
21,92.50,0
22,91.60,0
23,92.00,0
24,92.50,0
25,91.40,0
26,90.20,0
27,94.00,0
28,92.40,0
29,90.90,0
30,90.60,0
31,91.10,0
32,90.70,0
33,91.40,0
34,91.40,0
35,91.50,0
36,91.00,0
37,92.60,0
38,91.30,0
39,90.50,0
40,93.20,0
41,91.90,0
42,91.50,0
43,91.40,0
44,92.60,0
45,93.20,0
46,91.80,0
47,91.90,0
48,91.90,0
49,92.60,0
50,91.40,0
51,92.10,0
52,91.00,0
53,91.80,0
54,93.00,0
55,92.00,0
56,92.40,0
57,92.10,0
58,91.60,0
59,92.10,0
60,93.30,0
61,91.50,0
62,91.50,0
63,91.10,0
64,91.90,0
65,93.30,0
66,89.90,0
67,93.90,0
68,93.10,0
69,91.60,0
70,91.60,0
71,90.80,0
72,92.30,0
73,89.50,0
74,90.00,0
75,91.90,0
76,92.20,0
77,93.20,0
78,91.00,0
79,92.70,0
80,91.20,0
81,92.50,0
82,91.70,0
83,91.00,0
84,90.70,0
85,93.00,0
86,92.30,0
87,92.40,0
88,92.40,0
89,92.40,0
90,91.20,0
91,91.90,0
92,91.40,0
93,93.10,0
94,90.80,0
95,93.00,0
96,93.20,0
97,93.10,0
98,91.80,0
99,92.70,0
100,93.00,0
101,91.70,0
102,92.10,0
103,91.40,0
104,91.50,0
105,91.90,0
106,91.70,0
107,90.60,0
108,90.80,0
109,91.00,0
110,92.00,0
111,90.40,0
112,93.50,0
113,91.90,0
114,91.80,0
115,93.10,0
116,90.70,0
117,92.90,0
118,91.10,0
119,89.80,0
120,92.70,0
121,93.20,0
122,92.70,0
123,90.20,0
124,91.60,0
125,91.80,0
126,91.30,0
127,90.70,0
128,91.60,0
129,90.00,0
130,92.20,0
131,90.70,0
132,91.40,0
133,91.40,0
134,92.10,0
135,92.10,0
136,92.20,0
137,91.60,0
138,92.80,0
139,91.80,0
140,91.90,0
141,92.10,0
142,92.40,0
143,90.80,0
144,92.10,0
145,93.10,0
146,92.70,0
147,93.20,0
148,92.40,0
149,92.00,0
150,92.60,0
151,91.70,0
152,90.40,0
153,90.40,0
154,91.90,0
155,90.60,0
156,92.20,0
157,92.40,0
158,92.30,0
159,91.00,0
160,91.80,0
161,92.30,0
162,91.40,0
163,92.00,0
164,91.80,0
165,92.70,0
166,90.90,0
167,90.30,0
168,90.60,0
169,90.90,0
170,91.00,0
171,91.20,0
172,92.30,0
173,90.20,0
174,91.80,0
175,91.30,0
176,90.80,0
177,92.90,0
178,92.50,0
179,93.30,0
180,92.20,0
181,90.30,0
182,91.80,0
183,91.30,0
184,93.00,0
185,91.50,0
186,92.30,0
187,92.60,0
188,92.10,0
189,91.60,0
190,91.00,0
191,91.90,0
192,91.70,0
193,92.00,0
194,91.50,0
195,92.10,0
196,91.70,0
197,93.00,0
198,92.10,0
199,92.50,0
200,91.50,0
201,92.30,0
202,90.60,0
203,92.40,0
204,92.10,0
205,92.00,0
206,90.70,0
207,92.10,0
208,89.30,0
209,91.30,0
210,92.10,0
211,91.60,0
212,92.10,0
213,92.00,0
214,91.30,0
215,91.30,0
216,91.40,0
217,91.30,0
218,92.90,0
219,92.70,0
220,91.30,0
221,91.30,0
222,91.10,0
223,90.90,0
224,91.00,0
225,92.70,0
226,92.50,0
227,91.60,0
228,91.50,0
229,92.70,0
230,91.10,0
231,91.60,0
232,92.60,0
233,91.70,0
234,92.40,0
235,90.20,0
236,91.30,0
237,91.60,0
238,91.40,0
239,91.10,0
240,91.70,0
241,92.50,0
242,91.00,0
243,93.50,0
244,93.30,0
245,91.40,0
246,91.30,0
247,92.00,0
248,91.30,0
249,91.40,0
250,92.90,0
251,92.40,0
252,92.10,0
253,92.90,0
254,91.90,0
255,92.50,0
256,91.10,0
257,90.00,0
258,91.30,0
259,92.60,0
260,91.50,0
261,92.90,0
262,89.60,0
263,94.40,0
264,92.60,0
265,91.50,0
266,91.70,0
267,92.40,0
268,93.50,0
269,91.70,0
270,92.40,0
271,90.80,0
272,90.00,0
273,91.00,0
274,92.00,0
275,91.70,0
276,91.40,0
277,90.70,0
278,91.80,0
279,92.90,0
280,90.30,0
281,91.50,0
282,93.80,0
283,91.60,0
284,92.00,0
285,91.10,0
286,91.00,0
287,91.80,0
288,91.70,0
289,92.00,0
290,91.60,0
291,92.20,0
292,90.70,0
293,91.70,0
294,91.80,0
295,91.80,0
296,91.40,0
297,90.30,0
298,92.20,0
299,91.90,0
300,92.40,0
301,91.30,0
302,93.10,0
303,90.90,0
304,91.80,0
305,92.30,0
306,91.50,0
307,92.20,0
308,91.00,0
309,91.00,0
310,91.20,0
311,90.80,0
312,91.40,0
313,91.10,0
314,90.40,0
315,91.20,0
316,92.00,0
317,91.50,0
318,92.00,0
319,91.50,0
320,91.80,0
321,91.50,0
322,92.90,0
323,92.30,0
324,90.70,0
325,93.20,0
326,91.40,0
327,91.50,0
328,90.50,0
329,90.90,0
330,91.40,0
331,92.10,0
332,91.50,0
333,93.40,0
334,91.10,0
335,92.50,0
336,90.90,0
337,92.90,0
338,89.90,0
339,91.10,0
340,91.70,0
341,93.50,0
342,91.40,0
343,92.40,0
344,92.10,0
345,92.30,0
346,91.10,0
347,91.30,0
348,94.00,0
349,92.40,0
350,91.60,0
351,91.40,0
352,91.50,0
353,92.90,0
354,92.30,0
355,90.40,0
356,92.00,0
357,91.10,0
358,91.40,0
359,92.40,0
360,93.20,0
361,89.70,0
362,91.00,0
363,93.00,0
364,92.10,0
365,92.00,0
366,91.90,0
367,91.70,0
368,91.40,0
369,91.70,0
370,93.00,0
371,91.00,0
372,91.60,0
373,91.90,0
374,93.10,0
375,92.10,0
376,92.60,0
377,92.00,0
378,92.50,0
379,93.40,0
380,92.70,0
381,91.50,0
382,91.60,0
383,93.10,0
384,92.00,0
385,91.40,0
386,92.50,0
387,91.60,0
388,92.90,0
389,91.60,0
390,91.70,0
391,93.10,0
392,90.90,0
393,92.00,0
394,91.80,0
395,91.20,0
396,91.80,0
397,93.50,0
398,91.60,0
399,93.10,0
400,92.00,0
401,92.20,0
402,91.70,0
403,91.70,0
404,93.20,0
405,92.60,0
406,93.00,0
407,91.70,0
408,91.20,0
409,90.70,0
410,91.30,0
411,91.30,0
412,90.30,0
413,89.20,0
414,92.30,0
415,91.00,0
416,91.10,0
417,91.30,0
418,91.90,0
419,91.50,0
420,90.90,0
421,91.60,0
422,92.00,0
423,92.00,0
424,91.60,0
425,92.90,0
426,91.90,0
427,92.40,0
428,91.30,0
429,92.00,0
430,91.30,0
431,91.30,0
432,93.30,0
433,92.10,0
434,92.20,0
435,92.00,0
436,91.50,0
437,91.90,0
438,92.30,0
439,91.40,0
440,89.90,0
441,93.40,0
442,92.30,0
443,92.70,0
444,91.40,0
445,92.60,0
446,92.50,0
447,91.00,0
448,91.50,0
449,92.30,0
450,92.60,0
451,90.90,0
452,93.60,0
453,91.80,0
454,92.10,0
455,92.20,0
456,92.10,0
457,91.30,0
458,91.10,0
459,92.20,0
460,93.20,0
461,91.30,0
462,92.70,0
463,90.40,0
464,91.30,0
465,92.20,0
466,91.80,0
467,91.50,0
468,91.00,0
469,91.80,0
470,92.00,0
471,92.00,0
472,93.60,0
473,91.30,0
474,92.10,0
475,93.80,0
476,91.90,0
477,91.70,0
478,91.50,0
479,91.80,0
480,92.10,0
481,92.10,0
482,92.40,0
483,91.60,0
484,90.80,0
485,91.90,0
486,90.80,0
487,92.60,0
488,93.40,0
489,90.90,0
490,92.70,0
491,90.70,0
492,91.90,0
493,92.70,0
494,92.40,0
495,92.30,0
496,91.70,0
497,92.50,0
498,93.30,0
499,90.40,0
500,90.80,0
501,93.10,0
502,91.70,0
503,90.80,0
504,92.30,0
505,92.00,0
506,93.80,0
507,92.20,0
508,92.30,0
509,91.30,0
510,91.80,0
511,93.40,0
512,91.50,0
513,92.20,0
514,92.30,0
515,91.90,0
516,92.30,0
517,93.20,0
518,90.10,0
519,91.20,0
520,92.00,0
521,91.40,0
522,90.40,0
523,92.30,0
524,92.20,0
525,92.30,0
526,91.70,0
527,91.90,0
528,92.40,0
529,92.00,0
530,91.90,0
531,90.70,0
532,92.50,0
533,89.90,0
534,92.20,0
535,92.20,0
536,91.50,0
537,91.30,0
538,91.90,0
539,92.80,0
540,92.50,0
541,91.70,0
542,91.30,0
543,91.10,0
544,93.10,0
545,91.60,0
546,91.50,0
547,92.10,0
548,91.70,0
549,91.20,0
550,92.80,0
551,91.20,0
552,90.70,0
553,92.60,0
554,92.40,0
555,90.90,0
556,93.20,0
557,91.40,0
558,92.00,0
559,92.00,0
560,91.30,0
561,92.40,0
562,91.50,0
563,91.80,0
564,92.70,0
565,90.10,0
566,91.90,0
567,92.30,0
568,93.00,0
569,91.60,0
570,92.00,0
571,92.20,0
572,92.50,0
573,91.50,0
574,91.20,0
575,93.10,0
576,92.10,0
577,92.80,0
578,91.10,0
579,91.30,0
580,92.60,0
581,91.40,0
582,91.30,0
583,91.00,0
584,91.90,0
585,92.90,0
586,91.70,0
587,92.10,0
588,91.60,0
589,90.50,0
590,92.40,0
591,91.60,0
592,90.90,0
593,92.00,0
594,92.30,0
595,91.70,0
596,93.30,0
597,91.80,0
598,93.10,0
599,92.00,0
600,92.70,0
601,91.80,0
602,92.50,0
603,90.20,0
604,93.60,0
605,91.40,0
606,90.80,0
607,91.90,0
608,92.20,0
609,92.20,0
610,90.10,0
611,92.00,0
612,92.10,0
613,92.10,0
614,89.70,0
615,90.40,0
616,91.70,0
617,92.00,0
