depth,rdeep_win_pct,retries
1,23.00,155
2,32.30,0
3,40.30,0
4,43.60,0
5,44.00,0
6,49.70,0
7,49.00,0
8,46.90,0
9,45.90,0
10,47.10,0
11,48.90,0
12,49.90,0
13,47.60,0
14,48.40,0
15,47.30,0
16,45.40,0
17,45.60,0
18,49.50,0
19,48.90,0
20,48.20,0
21,48.60,0
22,49.00,0
23,49.10,0
24,49.50,0
25,50.80,0
26,47.50,0
27,45.40,0
28,48.10,0
29,47.70,0
30,48.80,0
31,50.40,0
32,42.30,0
33,47.70,0
34,49.00,0
35,47.30,0
36,49.30,0
37,51.50,0
38,49.50,0
39,46.20,0
40,47.40,0
41,48.30,0
42,46.00,0
43,47.70,0
44,50.00,0
45,47.50,0
46,50.20,0
47,46.40,0
48,47.20,0
49,47.90,0
50,47.30,0
51,46.10,0
52,48.80,0
53,50.10,0
54,47.60,0
55,48.40,0
56,46.60,0
57,48.50,0
58,46.20,0
59,48.10,0
60,48.10,0
61,46.40,0
62,47.30,0
63,46.50,0
64,47.00,0
65,49.00,0
66,46.60,0
67,50.30,0
68,47.20,0
69,46.80,0
70,46.30,0
71,46.90,0
72,48.80,0
73,47.20,0
74,46.60,0
75,49.00,0
76,48.90,0
77,50.30,0
78,47.40,0
79,47.00,0
80,48.40,0
81,47.80,0
82,51.20,0
83,48.60,0
84,50.50,0
85,47.60,0
86,49.10,0
87,47.20,0
88,49.60,0
89,43.90,0
90,49.50,0
91,47.80,0
92,47.80,0
93,49.90,0
94,49.20,0
95,48.40,0
96,48.40,0
97,46.70,0
98,47.80,0
99,48.40,0
100,47.30,0
101,50.00,0
102,46.20,0
103,46.10,0
104,46.10,0
105,48.80,0
106,44.80,0
107,49.80,0
108,47.10,0
109,48.20,0
110,50.70,0
111,48.90,0
112,48.10,0
113,48.00,0
114,45.40,0
115,49.70,0
116,49.00,0
117,47.00,0
118,47.40,0
119,46.10,0
120,49.50,0
121,46.30,0
122,44.40,0
123,49.60,0
124,48.70,0
125,47.50,0
126,46.20,0
127,48.20,0
128,46.20,0
129,47.00,0
130,49.30,0
131,48.40,0
132,49.70,0
133,47.30,0
134,47.40,0
135,50.00,0
136,47.90,0
137,46.40,0
138,49.50,0
139,46.10,0
140,47.20,0
141,47.10,0
142,48.80,0
143,47.80,0
144,47.30,0
145,48.20,0
146,47.10,0
147,48.20,0
148,47.70,0
149,48.10,0
150,48.00,0
151,50.20,0
152,48.70,0
153,49.90,0
154,47.00,0
155,46.40,0
156,47.20,0
157,49.20,0
158,49.90,0
159,48.10,0
160,53.00,0
161,47.70,0
162,48.50,0
163,47.50,0
164,48.00,0
165,45.40,0
166,47.50,0
167,48.30,0
168,48.40,0
169,46.60,0
170,48.70,0
171,50.40,0
172,48.60,0
173,46.70,0
174,45.70,0
175,47.40,0
176,47.80,0
177,47.80,0
178,47.00,0
179,46.90,0
180,47.40,0
181,48.40,0
182,48.50,0
183,48.60,0
184,46.80,0
185,47.70,0
186,49.70,0
187,48.60,0
188,45.50,0
189,50.60,0
190,48.70,0
191,50.10,0
192,49.30,0
193,48.00,0
194,48.40,0
195,50.50,0
196,50.70,0
197,48.40,0
198,45.60,0
199,47.40,0
200,52.10,0
201,46.40,0
202,47.60,0
203,49.00,0
204,47.80,0
205,47.00,0
206,48.60,0
207,48.10,0
208,47.80,0
209,48.90,0
210,46.10,0
211,46.00,0
212,47.10,0
213,48.40,0
214,50.90,0
215,46.40,0
216,48.10,0
217,50.70,0
218,47.40,0
219,48.90,0
220,48.30,0
221,48.10,0
222,49.10,0
223,48.60,0
224,47.90,0
225,48.20,0
226,49.50,0
227,47.80,0
228,45.50,0
229,50.60,0
230,46.50,0
231,49.60,0
232,49.60,0
233,45.90,0
234,47.30,0
235,45.90,0
236,48.20,0
237,48.70,0
238,49.50,0
239,48.80,0
240,45.50,0
241,47.50,0
242,45.60,0
243,51.00,0
244,46.80,0
245,50.10,0
246,48.60,0
247,48.30,0
248,49.70,0
249,47.30,0
250,48.20,0
251,45.20,0
252,45.60,0
253,48.10,0
254,49.40,0
255,51.20,0
256,46.90,0
257,46.90,0
258,47.80,0
259,48.30,0
260,49.70,0
261,45.00,0
262,49.80,0
263,46.50,0
264,49.70,0
265,46.90,0
266,48.90,0
267,48.20,0
268,47.20,0
269,48.40,0
270,47.80,0
271,48.40,0
272,49.80,0
273,45.70,0
274,46.60,0
275,50.10,0
276,48.50,0
277,48.10,0
278,46.60,0
279,49.50,0
280,48.00,0
281,49.70,0
282,47.80,0
283,49.70,0
284,48.80,0
285,49.40,0
286,46.00,0
287,47.80,0
288,49.00,0
289,49.40,0
290,51.20,0
291,46.70,0
292,46.80,0
293,49.20,0
294,49.50,0
295,49.50,0
296,49.20,0
297,46.70,0
298,47.50,0
299,46.70,0
300,48.20,0
301,47.80,0
302,48.10,0
303,46.60,0
304,46.90,0
305,48.20,0
306,47.10,0
307,49.80,0
308,48.40,0
309,48.80,0
310,50.70,0
311,51.30,0
312,47.90,0
313,49.70,0
314,46.00,0
315,51.40,0
316,50.20,0
317,48.10,0
318,48.50,0
319,50.30,0
320,46.90,0
321,50.80,0
322,49.90,0
323,48.10,0
324,46.60,0
325,46.40,0
326,48.00,0
327,49.60,0
328,49.90,0
329,47.80,0
330,48.10,0
331,51.40,0
332,50.00,0
333,49.00,0
334,46.50,0
335,47.10,0
336,49.50,0
337,47.10,0
338,50.90,0
339,47.80,0
340,45.90,0
341,44.90,0
342,51.40,0
343,51.50,0
344,47.20,0
345,49.10,0
346,45.20,0
347,49.20,0
348,43.90,0
349,48.20,0
350,48.10,0
351,49.00,0
352,49.40,0
353,45.70,0
354,48.60,0
355,50.10,0
356,49.10,0
357,49.10,0
358,47.20,0
359,48.20,0
360,50.80,0
361,49.10,0
362,48.40,0
363,51.00,0
364,48.50,0
365,47.60,0
366,45.00,0
367,48.10,0
368,48.70,0
369,47.30,0
370,49.20,0
371,49.70,0
372,45.50,0
373,48.60,0
374,46.60,0
375,50.60,0
376,47.80,0
377,48.10,0
378,47.80,0
379,48.30,0
380,49.50,0
381,47.10,0
382,49.20,0
383,50.60,0
384,48.10,0
385,48.80,0
386,45.20,0
387,49.00,0
388,50.60,0
389,46.60,0
390,46.50,0
391,46.90,0
392,47.70,0
393,46.50,0
394,45.90,0
395,49.20,0
396,46.80,0
397,48.60,0
398,49.20,0
399,48.90,0
400,49.70,0
401,47.00,0
402,47.10,0
403,49.50,0
404,48.50,0
405,46.40,0
406,46.40,0
407,46.00,0
408,48.80,0
409,49.10,0
410,47.30,0
411,45.50,0
412,49.40,0
413,47.60,0
414,47.40,0
415,49.40,0
416,48.00,0
417,48.90,0
418,51.10,0
419,50.40,0
420,49.90,0
421,48.10,0
422,45.80,0
423,48.80,0
424,48.50,0
425,48.20,0
426,49.50,0
427,49.00,0
428,48.40,0
429,47.10,0
430,48.20,0
431,48.10,0
432,48.20,0
433,46.60,0
434,47.50,0
435,48.30,0
436,46.40,0
437,46.50,0
438,47.00,0
439,49.40,0
440,48.30,0
441,50.10,0
442,48.10,0
443,45.70,0
444,48.90,0
445,48.40,0
446,49.70,0
447,49.50,0
448,48.20,0
449,46.20,0
450,49.10,0
451,49.90,0
452,45.70,0
453,46.10,0
454,49.30,0
455,46.90,0
456,49.90,0
457,47.60,0
458,50.80,0
459,47.70,0
460,48.90,0
461,46.90,0
462,49.70,0
463,47.00,0
464,50.00,0
465,46.80,0
466,47.00,0
467,46.30,0
468,49.80,0
469,45.10,0
470,49.70,0
471,48.60,0
472,47.90,0
473,45.60,0
474,49.10,0
475,48.00,0
476,50.10,0
477,46.10,0
478,49.80,0
479,45.40,0
480,47.50,0
481,48.60,0
482,47.70,0
483,46.60,0
484,49.90,0
485,48.40,0
486,49.10,0
487,46.00,0
488,46.50,0
489,45.70,0
490,48.90,0
491,45.50,0
492,47.40,0
493,49.30,0
494,48.00,0
495,48.60,0
496,49.30,0
497,48.70,0
498,48.40,0
499,45.70,0
500,48.30,0
501,49.60,0
502,45.70,0
503,50.00,0
504,50.00,0
505,46.50,0
506,48.60,0
507,48.10,0
508,51.60,0
509,47.20,0
510,51.10,0
511,48.70,0
512,48.00,0
513,48.40,0
514,46.80,0
515,51.20,0
516,47.40,0
517,46.20,0
518,51.40,0
519,46.80,0
520,46.60,0
521,50.20,0
522,50.10,0
523,48.00,0
524,45.30,0
525,48.90,0
526,50.40,0
527,48.60,0
528,49.50,0
529,48.00,0
530,46.70,0
531,49.00,0
532,48.30,0
533,48.80,0
534,47.90,0
535,47.60,0
536,49.70,0
537,46.80,0
538,48.50,0
539,49.20,0
540,46.90,0
541,49.80,0
542,50.10,0
543,44.40,0
544,47.80,0
545,45.60,0
546,48.20,0
547,48.90,0
548,48.70,0
549,48.20,0
550,47.50,0
551,47.90,0
552,49.90,0
553,51.50,0
554,49.90,0
555,49.10,0
556,47.60,0
557,49.50,0
558,47.90,0
559,51.40,0
560,47.30,0
561,48.00,0
562,50.00,0
563,46.70,0
564,49.20,0
565,50.30,0
566,46.40,0
567,44.80,0
568,48.40,0
569,43.30,0
570,46.50,0
571,49.70,0
572,47.30,0
573,47.60,0
574,49.50,0
575,48.00,0
576,49.60,0
577,48.30,0
578,49.60,0
579,51.00,0
580,49.70,0
581,50.60,0
582,49.30,0
583,47.20,0
584,50.30,0
585,46.90,0
586,48.70,0
587,47.90,0
588,46.70,0
589,45.80,0
590,47.20,0
591,48.70,0
592,49.50,0
593,47.20,0
594,47.70,0
595,48.70,0
596,48.60,0
597,49.40,0
598,48.20,0
599,49.00,0
600,49.60,0
601,46.20,0
602,48.30,0
603,46.20,0
604,46.90,0
605,49.50,0
606,48.60,0
607,47.70,0
608,47.70,0
609,49.70,0
610,47.70,0
611,47.20,0
612,47.50,0
613,47.10,0
614,47.20,0
615,48.90,0
616,48.60,0
617,46.20,0
618,47.60,0
619,45.90,0
620,46.50,0
621,48.90,0
622,46.30,0
623,47.40,0
624,47.40,0
625,49.70,0
626,49.60,0
627,46.10,0
628,50.10,0
629,50.40,0
630,48.70,0
631,48.30,0
632,50.10,0
633,46.60,0
634,47.30,0
635,50.20,0
636,46.90,0
637,48.30,0
638,49.80,0
639,48.20,0
640,47.20,0
641,50.90,0
642,49.30,0
643,47.30,0
644,49.70,0
645,51.80,0
646,46.10,0
647,47.60,0
648,48.80,0
649,48.70,0
650,47.50,0
651,50.30,0
652,47.30,0
653,48.90,0
654,46.70,0
655,50.20,0
656,43.40,0
657,47.60,0
658,47.20,0
659,47.70,0
660,45.40,0
661,48.80,0
662,48.40,0
663,47.60,0
664,48.20,0
665,51.20,0
666,48.10,0
667,49.00,0
668,47.20,0
669,50.10,0
670,48.60,0
671,48.10,0
672,46.90,0
673,49.30,0
674,51.10,0
675,47.40,0
676,46.90,0
677,48.60,0
678,49.20,0
679,49.20,0
680,50.70,0
681,51.40,0
682,47.90,0
683,45.20,0
684,49.60,0
685,46.20,0
686,47.50,0
687,45.90,0
688,46.20,0
689,48.50,0
690,47.80,0
691,48.90,0
692,48.90,0
693,44.90,0
694,51.20,0
695,47.40,0
696,50.10,0
697,47.70,0
698,48.30,0
699,48.00,0
700,48.30,0
701,46.50,0
702,50.00,0
703,47.60,0
704,50.90,0
705,48.90,0
706,47.50,0
707,44.80,0
708,46.30,0
709,49.50,0
710,46.50,0
711,46.90,0
712,49.00,0
713,47.40,0
714,47.70,0
715,48.70,0
716,47.80,0
717,48.60,0
718,48.30,0
719,49.40,0
720,49.50,0
721,47.10,0
722,48.00,0
723,50.10,0
724,45.90,0
725,50.10,0
726,47.10,0
727,51.40,0
728,49.50,0
729,49.10,0
730,48.80,0
731,47.70,0
732,47.60,0
733,48.60,0
734,48.30,0
735,48.20,0
736,49.00,0
737,48.00,0
738,50.30,0
739,46.30,0
740,47.30,0
741,48.60,0
742,47.30,0
743,47.50,0
744,48.00,0
745,47.30,0
746,47.90,0
747,48.50,0
748,49.60,0
749,49.00,0
750,48.60,0
751,49.60,0
752,50.50,0
753,49.30,0
754,47.40,0
755,51.00,0
756,48.40,0
757,50.20,0
758,46.40,0
759,46.30,0
760,48.90,0
761,48.20,0
762,46.00,0
763,48.90,0
764,47.90,0
765,48.00,0
766,48.30,0
767,47.50,0
768,49.50,0
769,49.50,0
770,46.40,0
771,49.80,0
772,45.40,0
773,46.80,0
774,49.80,0
775,49.70,0
776,45.60,0
777,50.50,0
778,48.00,0
779,47.70,0
780,46.10,0
781,48.00,0
782,47.00,0
783,49.20,0
784,51.10,0
785,49.40,0
786,48.10,0
787,47.60,0
788,49.30,0
789,48.50,0
790,48.10,0
791,49.10,0
792,48.40,0
793,47.60,0
794,45.70,0
795,46.90,0
796,49.20,0
797,45.90,0
798,48.50,0
799,48.80,0
800,48.20,0
801,48.60,0
802,49.60,0
803,44.80,0
804,46.60,0
805,47.50,0
806,47.20,0
807,46.90,0
808,44.90,0
809,48.80,0
810,49.70,0
811,47.40,0
812,47.40,0
813,46.60,0
814,47.10,0
815,50.60,0
816,49.40,0
817,47.30,0
818,48.20,0
819,48.40,0
820,47.90,0
821,49.30,0
822,46.00,0
823,47.10,0
824,46.40,0
825,46.10,0
826,48.50,0
827,49.50,0
828,47.40,0
829,50.40,0
830,47.30,0
831,46.50,0
832,47.20,0
833,50.40,0
834,46.40,0
835,48.90,0
836,47.30,0
837,47.70,0
838,46.20,0
839,49.60,0
840,48.20,0
841,50.30,0
842,49.00,0
843,44.90,0
844,45.80,0
845,49.20,0
846,45.40,0
847,49.10,0
848,49.80,0
849,46.20,0
850,49.90,0
851,47.60,0
852,47.20,0
853,47.10,0
854,49.40,0
855,48.60,0
856,48.20,0
857,49.40,0
858,47.00,0
859,46.80,0
860,48.80,0
861,46.60,0
862,48.70,0
863,48.30,0
864,46.90,0
865,47.20,0
866,49.10,0
867,50.20,0
868,46.30,0
869,47.20,0
870,46.70,0
871,45.10,0
872,50.60,0
873,49.40,0
874,47.10,0
875,50.50,0
876,49.90,0
877,47.50,0
878,45.70,0
879,48.70,0
880,48.90,0
881,47.40,0
882,48.10,0
883,48.00,0
884,48.00,0
885,50.00,0
886,48.40,0
887,50.40,0
888,50.10,0
889,46.50,0
890,47.80,0
891,49.20,0
892,46.30,0
893,46.40,0
894,46.20,0
895,46.70,0
896,47.70,0
897,47.10,0
898,48.90,0
899,49.80,0
900,48.70,0
901,48.10,0
902,46.00,0
903,52.40,0
904,48.70,0
905,46.80,0
906,49.70,0
907,48.60,0
908,50.10,0
909,47.70,0
910,49.70,0
911,48.50,0
912,48.30,0
913,51.30,0
914,49.20,0
915,49.60,0
916,47.90,0
917,50.20,0
918,49.00,0
919,45.90,0
920,46.50,0
921,48.40,0
922,45.90,0
923,50.40,0
924,47.00,0
925,49.30,0
926,48.10,0
927,50.20,0
928,48.40,0
929,47.00,0
930,48.90,0
931,47.90,0
932,51.20,0
933,49.60,0
934,45.00,0
935,47.10,0
936,50.00,0
937,48.70,0
938,48.00,0
939,48.50,0
940,45.10,0
941,49.00,0
942,46.60,0
943,49.90,0
944,48.10,0
945,49.70,0
946,46.10,0
947,48.00,0
948,46.30,0
949,49.60,0
950,48.70,0
