depth,rdeep_win_pct,retries
1,60.00,118
2,69.30,0
3,74.80,0
4,81.30,0
5,82.80,0
6,83.00,0
7,82.80,0
8,84.00,0
9,83.50,0
10,82.30,0
11,83.00,0
12,81.80,0
13,82.40,0
14,82.70,0
15,84.80,0
16,83.20,0
17,83.40,0
18,84.00,0
19,81.20,0
20,84.90,0
21,84.40,0
22,83.60,0
23,83.40,0
24,83.40,0
25,83.90,0
26,83.50,0
27,83.00,0
28,81.20,0
29,83.20,0
30,83.10,0
31,82.10,0
32,83.50,0
33,81.70,0
34,83.20,0
35,83.50,0
36,83.60,0
37,83.40,0
38,83.20,0
39,82.10,0
40,83.50,0
41,82.70,0
42,83.00,0
43,84.20,0
44,80.70,0
45,83.90,0
46,84.70,0
47,83.30,0
48,82.70,0
49,82.50,0
50,82.40,0
51,82.10,0
52,84.00,0
53,83.30,0
54,81.50,0
55,84.00,0
56,80.10,0
57,83.20,0
58,80.00,0
59,81.50,0
60,82.70,0
61,83.20,0
62,83.00,0
63,84.70,0
64,82.40,0
65,84.10,0
66,81.00,0
67,81.60,0
68,83.50,0
69,82.50,0
70,82.70,0
71,83.50,0
72,83.90,0
73,84.20,0
74,86.10,0
75,82.70,0
76,83.00,0
77,83.00,0
78,85.40,0
79,83.50,0
80,82.60,0
81,82.10,0
82,82.30,0
83,82.70,0
84,83.80,0
85,82.80,0
86,82.90,0
87,82.60,0
88,85.00,0
89,81.90,0
90,82.10,0
91,83.00,0
92,81.10,0
93,84.00,0
94,84.40,0
95,81.70,0
96,83.20,0
97,83.70,0
98,80.00,0
99,83.40,0
100,83.40,0
101,84.50,0
102,84.80,0
103,81.30,0
104,83.80,0
105,83.10,0
106,82.30,0
107,83.00,0
108,81.60,0
109,83.10,0
110,81.30,0
111,82.70,0
112,81.90,0
113,82.30,0
114,82.50,0
115,83.10,0
116,81.50,0
117,81.90,0
118,82.80,0
119,83.80,0
120,84.30,0
121,82.40,0
122,81.40,0
123,80.60,0
